date,1Y,2Y,3Y,5Y,7Y,10Y,15Y
2016-01-04,4.994,5.431,5.833,6.524,7.061,7.602,7.948
2016-01-11,4.97,5.351,5.814,6.607,7.122,7.535,7.815
2016-01-18,5.149,5.573,5.961,6.63,7.161,7.706,7.995
2016-01-25,5.139,5.538,5.905,6.545,7.058,7.589,7.851
2016-02-01,5.125,5.522,5.887,6.522,7.038,7.604,8.045
2016-02-08,5.256,5.599,5.92,6.493,6.977,7.542,8.074
2016-02-15,5.042,5.365,5.834,6.612,7.045,7.395,8.144
2016-02-22,4.959,5.368,5.748,6.422,6.981,7.602,8.069
2016-02-29,4.861,5.251,5.615,6.265,6.813,7.444,7.992
2016-03-07,4.945,5.316,5.654,6.245,6.752,7.414,8.445
2016-03-14,4.908,5.349,5.752,6.451,7.004,7.566,7.81
2016-03-21,4.907,5.302,5.666,6.304,6.832,7.446,8.093
2016-03-28,4.9,5.315,5.685,6.31,6.807,7.378,8.08
2016-04-04,4.911,5.302,5.681,6.382,6.984,7.641,7.925
2016-04-11,4.829,5.218,5.698,6.453,6.854,7.209,8.317
2016-04-18,5.012,5.373,5.708,6.301,6.801,7.401,8.094
2016-04-25,4.793,5.154,5.665,6.506,6.935,7.236,8.274
2016-05-02,4.956,5.339,5.694,6.325,6.857,7.479,8.106
2016-05-09,4.848,5.188,5.614,6.38,6.924,7.429,7.856
2016-05-16,4.967,5.263,5.558,6.146,6.732,7.606,9.05
2016-05-23,4.713,5.116,5.494,6.178,6.765,7.465,8.158
2016-05-30,4.603,4.984,5.413,6.202,6.808,7.416,7.967
2016-06-06,4.564,4.994,5.422,6.207,6.849,7.529,8.08
2016-06-13,4.48,4.955,5.393,6.159,6.785,7.478,8.037
2016-06-20,4.366,4.898,5.38,6.201,6.846,7.522,8.022
2016-06-27,4.423,4.914,5.366,6.157,6.804,7.518,8.098
2016-07-04,4.507,4.983,5.425,6.205,6.849,7.554,8.043
2016-07-11,4.476,4.981,5.442,6.239,6.875,7.545,7.983
2016-07-18,4.369,4.894,5.375,6.192,6.835,7.526,8.123
2016-07-25,4.44,4.934,5.39,6.191,6.846,7.567,8.112
2016-08-01,4.339,4.892,5.391,6.226,6.868,7.545,8.133
2016-08-08,4.425,4.865,5.321,6.193,6.926,7.679,8.09
2016-08-15,4.399,4.929,5.399,6.181,6.787,7.449,8.198
2016-08-22,4.325,4.825,5.288,6.109,6.79,7.551,8.15
2016-08-29,4.199,4.708,5.166,5.954,6.602,7.376,8.305
2016-09-05,4.185,4.702,5.158,5.922,6.533,7.269,8.316
2016-09-12,4.104,4.621,5.053,5.766,6.37,7.178,8.382
2016-09-19,3.967,4.453,4.891,5.653,6.295,7.09,8.083
2016-09-26,3.881,4.392,4.837,5.58,6.185,6.938,7.972
2016-10-03,3.637,4.09,4.518,5.301,5.992,6.873,7.998
2016-10-10,3.543,3.964,4.364,5.103,5.766,6.629,7.764
2016-10-17,3.505,3.922,4.322,5.07,5.752,6.649,7.82
2016-10-24,3.462,3.92,4.348,5.123,5.8,6.662,7.782
2016-10-31,3.498,3.914,4.316,5.07,5.762,6.682,7.906
2016-11-07,3.545,3.931,4.315,5.069,5.792,6.788,8.112
2016-11-14,3.671,4.098,4.502,5.241,5.896,6.738,7.83
2016-11-21,3.97,4.43,4.819,5.467,6.013,6.728,7.743
2016-11-28,3.973,4.348,4.707,5.381,5.995,6.81,7.902
2016-12-05,4.004,4.42,4.756,5.326,5.858,6.64,7.815
2016-12-12,3.971,4.363,4.732,5.405,6.002,6.775,7.798
2016-12-19,4.299,4.65,4.967,5.549,6.079,6.788,7.771
2016-12-26,4.299,4.639,4.968,5.59,6.164,6.934,7.975
2017-01-02,4.339,4.757,5.056,5.534,6.0,6.734,7.868
2017-01-09,4.215,4.576,4.908,5.499,6.012,6.677,7.625
2017-01-16,4.25,4.617,4.89,5.352,5.81,6.534,7.813
2017-01-23,4.214,4.496,4.781,5.355,5.924,6.742,7.921
2017-01-30,4.189,4.504,4.81,5.395,5.944,6.701,7.785
2017-02-06,4.226,4.498,4.768,5.302,5.826,6.596,7.831
2017-02-13,3.912,4.247,4.531,5.084,5.676,6.578,7.867
2017-02-20,3.945,4.29,4.622,5.252,5.837,6.633,7.753
2017-02-27,4.006,4.281,4.561,5.13,5.7,6.534,7.781
2017-03-06,3.973,4.301,4.619,5.227,5.796,6.584,7.736
2017-03-13,4.02,4.326,4.625,5.204,5.755,6.531,7.688
2017-03-20,4.038,4.334,4.622,5.179,5.709,6.457,7.583
2017-03-27,4.079,4.402,4.713,5.302,5.847,6.581,7.584
2017-04-03,4.179,4.457,4.728,5.249,5.745,6.442,7.493
2017-04-10,4.19,4.46,4.725,5.237,5.725,6.412,7.435
2017-04-17,4.247,4.605,4.85,5.239,5.642,6.322,7.44
2017-04-24,4.201,4.53,4.815,5.3,5.717,6.292,7.221
2017-05-01,4.362,4.722,4.96,5.349,5.731,6.312,7.236
2017-05-08,4.503,4.813,5.017,5.35,5.722,6.368,7.421
